Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD0001,-1.4981844350104492,2,1,6,0,0.3103325200240474,0,1,2,2,2,1,4,0,0,1,0,5,0
STUD0002,-0.9488757765773448,2,2,5,0,0.3103325200240474,0,1,5,1,1,1,2,1,1,2,0,4,0
STUD0003,-1.131978662721713,3,0,6,0,-0.32650827624939294,4,1,0,0,4,1,1,1,1,1,1,4,0
STUD0004,0.5159473125776002,0,1,3,1,-0.9633490725228332,3,0,3,1,4,0,2,0,0,1,0,2,1
STUD0005,0.14974154028886394,2,2,0,1,1.584014112570928,2,0,0,1,3,1,0,2,0,0,1,3,1
STUD0006,1.2483588571550728,1,0,6,1,1.584014112570928,4,0,3,2,0,1,0,1,0,1,0,1,1
STUD0007,-0.39956711814424045,1,2,1,1,1.2655937144342078,3,1,4,2,3,1,4,2,1,1,0,3,1
STUD0008,-0.39956711814424045,1,0,2,0,-1.2817694706595533,4,0,6,1,4,1,1,1,0,1,1,4,0
STUD0009,1.4314617432994408,2,2,4,1,-1.6001898687962735,1,1,2,1,1,0,1,0,1,2,1,1,0
STUD0010,-0.9488757765773448,3,1,3,1,1.584014112570928,4,1,0,1,3,0,0,2,1,2,1,0,0
STUD0011,0.8821530848663365,1,0,1,0,1.584014112570928,0,1,5,2,2,1,0,1,0,2,0,0,1
STUD0012,-1.131978662721713,2,2,0,1,-0.008087878112672791,0,1,5,1,0,0,3,1,0,0,0,4,0
STUD0013,0.14974154028886394,1,0,1,0,-0.9633490725228332,4,1,0,1,0,1,1,2,0,0,1,3,1
STUD0014,1.0652559710107046,0,1,1,0,1.2655937144342078,4,0,3,2,2,0,2,2,0,1,0,4,0
STUD0015,-0.03336134585550418,3,2,4,1,-0.9633490725228332,1,1,5,2,1,1,2,2,0,2,1,3,1
STUD0016,-0.5826700042886086,0,1,4,1,-0.6449286743861131,0,1,0,1,4,0,0,0,1,2,0,4,0
STUD0017,1.2483588571550728,2,2,5,0,1.2655937144342078,0,1,1,1,3,1,2,1,1,2,0,5,1
